"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"где купить готовые блины в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказ еды киров удон","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"киров торт чизкейк","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"тел салаты на сквере кирова","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пивная тарелка то то","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"киров чебуреки заказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"китайские острые салаты купить киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"горячие блюда на заказ киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"заказать японскую лапшу на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"где купить торт чизкейк в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"купить чебуреки вожгалы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"вятский чебурек на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"меню на обед и ужин киров заказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"блины заказать на дом киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"вятский чебурек киров доставка д","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"доставка еды роллы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"замороженные чизкейки киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"чизкейки киров воровского","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров доставка блинов","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"толмачев пельмени киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","25.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","25.00",""
"см5184","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пицца роллы пельмени","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"ппша киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"кафе пельменное ушко киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"еда навынос","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"барбекю доставка еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"доставка салаты киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказать ролла киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"сушилка заказ еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"доставка пиццы калинина","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"+79634323818 доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"быстрая доставка пиццы на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказ чебуреков на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"салат практикум г киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"службы доставки еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"блинная шумовка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"десерты купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказ продуктов на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","18.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","18.00",""
"где купить удон в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"чизкейки на заказ в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"изысканные десерты в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"чебурек43","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать салаты магазин кировский","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"повоп","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"чебуречные сайты","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ассортимент у чебуреков 43","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"pelmesh","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказать пиццу киров дешево","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка комплексных обедов","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"полуфабрикаты чебуреки купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"купить в кирове сырные палочки","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"чебуреки вятки","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказать еду за киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказа обеда город киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","11.00","11.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","1.00","100.00","11.00","11.00"
"вкусный блин киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"роллы с доставкой в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"еда с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"наша пицца киров официальный сайт","2019-07-04 - 2019-10-04","1.00","0.00","0.00","49.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","49.00",""
"чизкейк кир","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказ японской еды на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","25.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","25.00",""
"заказать вок лапшу","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пельмени лепсе","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"толмачевские пельмени","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"блины кировская область","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"салат киров адрес","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"пицца в кирове за 200 рублей","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"калинина 40 столовая","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать пиццу 30 минут доставка в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"чизкейка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"где можно заказать суп с собой в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка обедов киров домашняя","2019-07-04 - 2019-10-04","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","",""
"пивная тарелка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказ готовых блюд на дом","2019-07-04 - 2019-10-04","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"сервисы по заказу еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"чебуреки заказать киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказать меню на вынос","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"киров обеды в офис","2019-07-04 - 2019-10-04","1.00","0.00","0.00","22.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","22.00",""
"где заказать блины киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказ роллов киров круглосуточно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","32.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","32.00",""
"киров чебуречные","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"сушилка пицца киров доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","41.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","41.00",""
